Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,97,48785,3027,60012,17627.08,62.887%,.54833,0.16,0.07,294.5
TOTAL,97,48785,3027,60012,17627.08,62.887%,.54833,0.16,0.07,294.5
