Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,103947,1240,0,1571,143.77,1.331%,432.37206,108.29,53.33,256.5
TOTAL,103947,1240,0,1571,143.77,1.331%,432.37206,108.29,53.33,256.5
