Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,40,3002,3001,3025,3.70,0.000%,.33299,0.08,0.04,236.0
TOTAL,40,3002,3001,3025,3.70,0.000%,.33299,0.08,0.04,236.0
