Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,104782,2,0,68,2.33,0.000%,436.57711,98.06,53.72,230.0
TOTAL,104782,2,0,68,2.33,0.000%,436.57711,98.06,53.72,230.0
