Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,79189,2045,0,158106,10455.06,97.849%,235.54765,223.41,18.37,971.3
TOTAL,79189,2045,0,158106,10455.06,97.849%,235.54765,223.41,18.37,971.3
