Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,4545,2,2,3,3,4,0,30,0.000%,50.42436,11.33,6.20
TOTAL,4545,2,2,3,3,4,0,30,0.000%,50.42436,11.33,6.20
