Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,72,1257,1257,1258,1258,1258,1255,1287,0.000%,.79423,0.18,0.10
TOTAL,72,1257,1257,1258,1258,1258,1255,1287,0.000%,.79423,0.18,0.10
