Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,64,1410,1408,1417,1421,1422,1405,1451,0.000%,.70829,0.16,0.09
TOTAL,64,1410,1408,1417,1421,1422,1405,1451,0.000%,.70829,0.16,0.09
