Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3784,9,1,52,"7,38","0,000%","25,08984","5,61","3,14","229,0"
TOTAL,3784,9,1,52,"7,38","0,000%","25,08984","5,61","3,14","229,0"
