Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,39506,10,0,259,"17,59","0,000%","263,18559","58,86","32,90","229,0"
TOTAL,39506,10,0,259,"17,59","0,000%","263,18559","58,86","32,90","229,0"
